2024-01-31 15:15:59.911 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 8.0.1.Final
2024-01-31 15:15:59.957 INFO  [main] [com.dalbang.DalbangApplication] - Starting DalbangApplication using Java 17.0.8 with PID 1714 (/Users/otaehun/Desktop/프로젝트/dalbang/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/프로젝트/dalbang)
2024-01-31 15:15:59.961 INFO  [main] [com.dalbang.DalbangApplication] - No active profile set, falling back to 1 default profile: "default"
2024-01-31 15:16:00.861 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-31 15:16:00.944 INFO  [main] [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 78 ms. Found 2 JPA repository interfaces.
2024-01-31 15:16:01.471 INFO  [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port 8089 (http)
2024-01-31 15:16:01.480 INFO  [main] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8089"]
2024-01-31 15:16:01.481 INFO  [main] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-01-31 15:16:01.481 INFO  [main] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-01-31 15:16:01.526 INFO  [main] [o.a.c.c.C.[.[localhost].[/dalbang]] - Initializing Spring embedded WebApplicationContext
2024-01-31 15:16:01.526 INFO  [main] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1509 ms
2024-01-31 15:16:01.647 INFO  [main] [o.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-31 15:16:01.699 INFO  [main] [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-01-31 15:16:01.731 INFO  [main] [o.h.c.internal.RegionFactoryInitiator] - HHH000026: Second-level cache disabled
2024-01-31 15:16:01.948 INFO  [main] [o.s.o.j.p.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-31 15:16:01.969 INFO  [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2024-01-31 15:16:02.078 INFO  [main] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@7548e1fb
2024-01-31 15:16:02.080 INFO  [main] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2024-01-31 15:16:02.754 INFO  [main] [o.h.e.t.j.p.i.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-31 15:16:02.832 INFO  [main] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-31 15:16:03.312 WARN  [main] [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
